,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,star_rating,ratings,latest_price
0,Lenovo,A6-9225,AMD,A6-9225 Processor,10.0,4,DDR4,0,1025,Windows,64,0,ThinNlight,15.12,0,No,No,3.7,63,303.76
1,Lenovo,Ideapad,AMD,APU Dual,10.0,4,DDR4,0,512,Windows,64,0,Casual,15.12,0,No,No,3.6,1894,238.12
2,Avita,PURA,AMD,APU Dual,10.0,4,DDR4,128,0,Windows,64,0,ThinNlight,15.12,0,No,No,3.7,1153,242.98
3,Avita,PURA,AMD,APU Dual,10.0,4,DDR4,128,0,Windows,64,0,ThinNlight,15.12,0,No,No,3.7,1153,261.21
4,Avita,PURA,AMD,APU Dual,10.0,4,DDR4,256,0,Windows,64,0,ThinNlight,15.12,0,No,No,3.7,1657,303.76
5,Avita,PURA,AMD,APU Dual,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,3.7,1657,303.76
6,HP,APU,AMD,APU Dual,10.0,4,DDR4,0,1025,Windows,32,0,Casual,14.0,0,No,No,3.9,1185,254.04
7,Lenovo,APU,AMD,APU Dual,10.0,4,DDR4,0,1025,Windows,64,0,Casual,15.12,0,No,No,3.9,219,266.15
8,HP,Athlon,AMD,Athlon Dual,10.0,32,DDR4,32,0,Windows,32,4,Casual,14.0,0,No,No,0.0,0,326.96
9,acer,Aspire,AMD,Athlon Dual,10.0,4,DDR4,256,0,Windows,64,0,Casual,15.12,1,No,No,4.2,76,388.84
10,ASUS,ExpertBook,Intel,Core i3,10.0,4,DDR4,0,1025,Windows,64,0,Casual,15.6,0,No,No,2.3,3,421.16
11,Lenovo,Missing,Intel,Core i3,10.0,4,DDR4,0,1025,Windows,64,0,Casual,15.12,0,No,No,3.8,65,474.04
12,Lenovo,v15,Intel,Core i3,10.0,4,DDR4,0,1025,Windows,64,0,Casual,15.6,0,No,No,3.1,8,486.19
13,ASUS,ExpertBook,Intel,Core i5,8.0,8,DDR4,512,0,Windows,32,2,Casual,15.12,0,No,No,0.0,0,850.74
14,ASUS,VivoBook,Intel,Celeron Dual,2.0,4,DDR4,0,512,Windows,64,0,Casual,15.12,0,No,No,0.0,0,328.07
15,ASUS,EeeBook,Intel,Celeron Dual,2.0,4,DDR4,0,512,Windows,64,0,Casual,15.12,0,No,No,0.0,0,279.45
16,ASUS,EeeBook,Intel,Celeron Dual,2.0,4,DDR4,0,512,Windows,32,0,Casual,15.12,0,No,No,3.5,31,267.29
17,ASUS,ExpertBook,Intel,Core i5,8.0,8,DDR4,0,1025,Windows,32,2,Casual,14.0,0,No,No,0.0,0,714.71
18,Lenovo,Missing,Intel,Core i5,8.0,4,DDR4,0,1025,Windows,32,0,Casual,14.0,0,No,No,0.0,0,607.74
19,acer,Aspire,AMD,Ryzen,10.0,4,DDR4,0,512,Windows,32,4,Casual,15.12,0,No,No,4.5,3190,668.41
20,acer,Nitro,AMD,Ryzen 5,11.0,4,DDR4,0,512,Windows,32,4,Casual,15.12,0,No,No,4.5,1946,729.18
21,acer,Nitro,AMD,Ryzen 5,11.0,4,DDR4,0,512,Windows,32,6,Casual,15.12,0,No,No,4.5,259,1138.93
22,acer,Nitro,AMD,Ryzen 5,11.0,4,DDR4,0,512,Windows,32,4,Casual,15.12,0,No,No,4.5,425,887.2
23,Avita,Cosmos,Intel,Celeron Dual,2.0,4,DDR4,0,512,Windows,64,0,Casual,15.12,0,No,No,3.6,1120,212.59
24,ASUS,EeeBook,Intel,Celeron Dual,2.0,4,DDR4,0,512,Windows,64,0,Casual,15.12,0,No,No,0.0,0,279.45
25,ASUS,ExpertBook,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,Casual,15.12,0,No,No,0.0,0,437.46
26,HP,x360,Intel,Core i3,11.0,8,DDR4,256,0,Windows,64,0,Casual,14.0,1,Yes,No,0.0,0,686.64
27,HP,x360,Intel,Core i5,8.0,8,DDR4,256,0,Windows,64,0,Casual,14.0,1,No,No,0.0,0,794.82
28,Lenovo,IdeaPad,Intel,Celeron Dual,2.0,4,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,4.0,286,388.95
29,HP,Celeron,Intel,Celeron Dual,2.0,8,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,4.0,58,394.92
30,Lenovo,IdeaPad,Intel,Celeron Dual,2.0,4,DDR4,256,0,Windows,64,0,ThinNlight,15.12,0,No,No,0.0,0,386.52
31,ASUS,VivoBook,Intel,Celeron Dual,2.0,4,DDR4,256,0,Windows,64,0,Casual,15.12,0,No,No,4.0,7,363.32
32,ASUS,Celeron,Intel,Celeron Dual,2.0,4,DDR4,0,1025,Windows,64,0,Casual,15.6,1,No,No,3.8,15279,291.6
33,HP,15q,Intel,Core i3,7.0,4,DDR4,0,1025,Windows,64,0,Casual,15.6,0,No,No,4.2,311,400.57
34,HP,250-G6,Intel,Core i5,8.0,4,DDR4,0,1025,Windows,32,2,Casual,15.6,0,No,No,4.2,47,561.57
35,ASUS,Missing,Intel,Core i3,11.0,4,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,4.1,37,418.49
36,Lenovo,IdeaPad,Intel,Core i3,10.0,8,DDR4,256,0,Windows,32,0,ThinNlight,15.6,2,No,Yes,4.3,2080,461.77
37,ASUS,VivoBook,Intel,Core i3,11.0,4,DDR4,256,0,Windows,32,0,Casual,15.6,1,No,Yes,4.3,1479,437.46
38,ASUS,VivoBook,Intel,Core i3,10.0,8,DDR4,256,0,Windows,64,0,ThinNlight,14.0,0,No,No,4.4,67,413.03
